GISJOIN10,pcover
G0100430964800,0.0277957559015
G0100430964900,0.176694936228
G0100430965000,0.24989953269
G0100450020700,0.333681765401
G0100690041100,0.0467607791152
G0100730002400,0.0621972674658
G0100730002700,0.0339374198
G0100730003100,0.0479348384812
G0100730003200,0.486635314713
G0100730003300,0.0234678243735
G0100730004500,0.486123140765
G0100730004902,0.0596286454119
G0100730010200,0.094174920568
G0100970000200,0.28484576773
G0100970000401,0.20635606582
G0100970000402,0.290514568662
G0100970001100,0.982185036192
G0100970001200,0.021161635706
G0101030000100,0.0849870437081
G0101030000400,0.166531292045
G0101030000600,0.0351481370524
G0101030000800,0.0587478389317
G0101250011200,0.954990128326
G0101250011401,0.948248961211
G0101250011402,0.905439483107
G0101250011600,0.41024836106
G0101250011800,0.483645452621
G0101250011902,0.0250080893134
G0101250012000,0.319260475936
G0400130114000,0.125942389417
G0400130114301,0.0141338168138
G0400130114302,0.504507532903
G0400130114800,0.12726194996
G0400190000100,1.0873731928
G0400190000300,0.0117985273567
G0400190000900,0.597110673318
G0400190001000,1.44775681745
G0500510011500,0.0187789160107
G0500770470300,0.0468242619332
G0501190000200,0.206067653756
G0501190000500,0.458811677402
G0501190001100,0.449783160144
G0501190001501,0.0236537185882
G0501190001502,0.0368553503952
G0501190002102,0.12831899386
G0501190002103,0.147680824646
G0501190002500,0.422968683743
G0501190002700,0.0775864831082
G0501190002800,0.07271178847
G0501190002900,0.101475918912
G0501190003001,0.277509159462
G0501190003002,0.388435794078
G0501190004001,0.0122549393102
G0501190004400,0.473708241707
G0501190004500,0.310365361322
G0501190004600,0.806342321046
G0501190004700,0.310468964578
G0600010422000,0.0739760922714
G0600010422800,0.778924192401
G0600010423602,0.029859203499
G0600130309000,0.0154522879479
G0600130378000,0.0443785973366
G0600130382000,0.237958333357
G0600130386000,0.0356424863451
G0600370207301,0.202147198915
G0600370207400,0.124417380656
G0600370207501,0.990278751342
G0600370207502,0.774091182383
G0600370208000,0.788810398183
G0600370221900,0.37409117041
G0600370222600,0.0975697446843
G0600370222700,0.389938180681
G0600370224700,0.228550108548
G0600370461600,0.194452853717
G0600370462002,0.144965428115
G0600370621204,0.205953966136
G0600370702102,0.193711843793
G0600530012700,0.0837181848017
G0600670000700,0.881152779825
G0600670000800,0.979880872112
G0600670001101,0.0329541275226
G0600670002100,0.103571185104
G0600710004201,0.1668904945
G0600710004202,0.328396547993
G0600710004302,0.497627775436
G0600710004403,0.0180090579532
G0600710004404,0.0132784996161
G0600710004700,0.3870483993
G0600710004800,1
G0600710004900,0.99983565081
G0600710005500,0.173980910296
G0600710005600,1
G0600710005701,1
G0600710005800,1
G0600710006401,0.0507625576259
G0600710006500,0.0279056027264
G0600710006604,0.259637395407
G0600750010500,0.251991243757
G0600750012000,0.0117749144019
G0600750012202,0.0103311810667
G0600750015100,0.646597840521
G0600750015200,0.332338024626
G0600750015500,0.653392967779
G0600750015801,0.701698917641
G0600750015900,0.974030652376
G0600750016000,0.998943606749
G0600750016100,0.754407868783
G0600750016200,0.0642063725864
G0600750017601,0.229514323009
G0600750017801,0.726911433196
G0600750017802,0.517229640626
G0600750018000,0.116720001849
G0600750021600,0.274960544507
G0600750021700,0.575461301304
G0600750023102,0.722469589242
G0600750023103,0.0953116556609
G0600750060700,0.0132445391635
G0600750061200,0.0910617486419
G0600750061500,0.102473543951
G0600750980900,0.114750051066
G0600950250701,0.0105292293426
G0600950250900,0.401047731815
G0600970152000,0.241087279237
G0800310000702,0.343124936246
G0800310000800,0.0113753464773
G0800310000905,0.0239947006714
G0800310001600,0.0350760343132
G0800310001701,0.142548707578
G0800310001702,0.26214108742
G0800310001901,0.132852253698
G0800310002300,0.471000451995
G0800310002402,0.48750114861
G0800310002403,0.095210865486
G0800310002601,0.0274557360731
G0800310002602,0.0712711607934
G0800310003101,0.286543799911
G0800310003601,0.18396260121
G0900010020100,0.725213947949
G0900010021700,0.38754285724
G0900010022100,0.133629837091
G0900010022200,0.0504783804788
G0900070541600,0.0397729143595
G0900090140100,0.427641085063
G0900090140200,0.142373212934
G0900090140300,0.329614225746
G0900090140400,0.666251828608
G0900090140500,0.90273100393
G0900090140600,0.744300269632
G0900090140700,0.994898093909
G0900090140800,0.31135942127
G0900090141500,0.783006419872
G0900090141600,0.835639084855
G0900090141800,0.106597105965
G0900090142000,0.147040429454
G0900090142100,0.420392665835
G0900090142200,0.715143228625
G0900090142300,1
G0900090142400,0.613989894548
G0900090142500,0.145151898623
G0900090361401,0.524151410036
G0900090361402,0.131040285859
G0900110690500,0.148168282776
G0900110870300,0.0182263712512
G0900130530200,0.0301558423302
G1000030001400,0.430046890246
G1000030001500,0.754731415629
G1000030001600,0.902368847045
G1000030001902,0.0852731855071
G1000030002100,0.997027556486
G1000030002200,0.997043206307
G1000030002300,0.518178001826
G1000030002500,0.21649492196
G1000030002800,0.491417239534
G1000030002900,0.301482966841
G1100010000400,0.563388958246
G1100010000501,0.99529957766
G1100010000502,1
G1100010000600,1
G1100010000701,0.313943098683
G1100010001002,0.995489797328
G1100010001100,0.0569654134478
G1100010001200,0.999796731125
G1100010001301,0.422622620249
G1100010001302,0.995276097539
G1100010001402,0.431975231554
G1100010002600,0.0268124964688
G1100010002702,0.0183549447778
G1100010003302,0.0144773522155
G1100010003500,0.0121968074345
G1100010003900,0.0365501352251
G1100010004300,0.576780897585
G1100010004400,0.971008677422
G1100010004600,0.998319820727
G1100010004701,0.999864327963
G1100010004702,1.0002083602
G1100010004801,1
G1100010004802,1.00072415089
G1100010004901,1
G1100010004902,1.00069145993
G1100010005001,1
G1100010005002,0.853527483411
G1100010005201,0.515441602873
G1100010005600,0.0985441963095
G1100010005800,0.990379854956
G1100010005900,0.989383563876
G1100010006400,0.0753218013258
G1100010007301,0.970925979191
G1100010009000,0.866194747442
G1100010010100,0.705090355667
G1100010010200,0.919323735803
G1100010010500,0.778848028979
G1100010010600,0.291686717458
G1100010011000,0.442559792553
G1200570004300,0.183289403983
G1200570005000,0.0523312269867
G1200570005101,0.14983138079
G1200860003100,0.8560782448
G1200860003400,0.99537629479
G1200860003601,0.936178076004
G1200860003705,0.0173152629375
G1200860003706,0.79441260031
G1200860003707,0.425120456466
G1300510000300,0.451192248454
G1300510000900,0.740383556798
G1300510001500,1
G1300510011200,0.258446100101
G1300890022500,0.0927260605207
G1301150000600,0.0307356424914
G1301210001002,0.176310693874
G1301210001201,0.0124064216902
G1301210001700,0.190388029183
G1301210001800,0.937790009022
G1301210002100,0.383623585093
G1301210002500,0.0918186253106
G1301210002600,0.522862212524
G1301210002800,0.895370838624
G1301210002900,0.0891572692942
G1301210003500,0.334365870717
G1301210003600,0.999083198216
G1301210003700,1
G1301210003800,0.999708941969
G1301210003900,0.552375352271
G1301210004100,1.88757018215
G1301210004200,1.8914886234
G1301210004300,0.997097209319
G1301210004400,0.569223814965
G1301210004800,0.52360642329
G1301210004900,0.0391084694047
G1301210005800,0.0715732741287
G1301210006000,0.0141509298664
G1301210006200,0.616508388502
G1301210006802,0.305214305535
G1301210007100,0.336387696178
G1301210008500,0.0192507776821
G1301210008700,0.168707124775
G1301210011800,0.25285742596
G1301210011900,0.180154012168
G1301210012000,0.288129089118
G1301850011302,0.0126930213587
G1302450000700,0.278105339996
G1302450000900,0.183865672576
G1302450011000,0.136296607827
G1700310031501,0.196073519951
G1700310070101,0.170869725518
G1700310070102,0.987108089554
G1700310070103,1
G1700310070200,0.993123363622
G1700310070300,0.501805970294
G1700310070400,0.49203638669
G1700310070500,0.34334400435
G1700310071000,1
G1700310071100,1.00288076447
G1700310071200,1.49633856071
G1700310071300,1.52325273455
G1700310071400,0.387172040384
G1700310071500,0.698051279522
G1700310071600,2
G1700310071700,2
G1700310071800,1.11543570182
G1700310080201,0.43979573466
G1700310080202,0.440140792494
G1700310080300,0.0116361589808
G1700310080400,0.0155037678879
G1700310280100,0.13308997552
G1700310280400,0.948772671068
G1700310280900,1
G1700310281900,0.186882409955
G1700310282800,1
G1700310283100,1
G1700310283200,1
G1700310283800,1
G1700310310200,0.402105444188
G1700310310300,1
G1700310310400,1
G1700310310500,0.996199472218
G1700310310600,0.999548717847
G1700310310700,0.999918621961
G1700310310800,1
G1700310310900,1
G1700310350400,0.0711653426253
G1700310351000,0.618839040082
G1700310351100,0.295493104025
G1700310360200,0.315591960897
G1700310390400,0.996518299844
G1700310390500,0.9998424813
G1700310390600,0.998225425525
G1700310390700,0.460451777064
G1700310410100,0.588592921268
G1700310410200,1
G1700310410500,0.996804607564
G1700310410600,1
G1700310410700,1
G1700310410800,1
G1700310410900,0.599883672279
G1700310411000,0.272006884738
G1700310411100,0.719570464649
G1700310411200,0.533562942075
G1700310420100,0.262169541804
G1700310420200,0.984878605371
G1700310420300,0.99596718802
G1700310420400,0.994604398247
G1700310420500,0.231905549538
G1700310420800,0.999884325317
G1700310680900,0.190451089709
G1700310681200,0.500833515525
G1700310690300,0.666633766234
G1700310691100,0.465516545509
G1700310832500,0.270208466339
G1700310832600,0.620405807501
G1700310832900,1
G1700310833000,0.929525305885
G1700310833100,1
G1700310833300,1
G1700310834400,1
G1700310834600,0.174405574923
